Secao,Titulo,Descrição,Data
mercado-digital,EUA detecta primeiro caso humano de gripe aviária transmitido por vaca leiteira,"Uma pessoa testou positivo para gripe aviária nos Estados Unidos, depois de ter sido infectada por uma vaca leiteira, anunciaram, nesta segunda-feira (1º), autoridades do estado do Texas, ressaltando que o risco de transmissão...",01/04/24 - 17:30min
mercado-digital,"Meta irá desativar o CrowdTangle, ferramenta-chave contra a desinformação","A ferramenta CrowdTangle, considerada vital para monitorar a desinformação nas redes sociais, será desmantelada pelo grupo americano Meta nos próximos meses, uma medida que os pesquisadores descrevem como um “retrocesso” em um ano com...",01/04/24 - 14:28min
mercado-digital,OpenAI revela nova ferramenta de clonagem de voz,"A OpenAI, empresa por trás do ChatGPT, revelou, nesta sexta-feira (29), uma ferramenta de clonagem de voz que planeja manter sob estrito controle até que sejam implementadas medidas de segurança para impedir falsificações de...",29/03/24 - 19:43min
mercado-digital,Trend do ‘Clique aqui’: entenda recurso usado para mensagens ocultas nas redes sociais,"A Trend do “Clique aqui” teve grande repercussão nesta sexta-feira, 29, no X (antigo Twitter) com contas oficiais de influenciadores, usuários comuns e até empresas postando uma mesma imagem: um fundo branco com uma...",29/03/24 - 12:55min
mercado-digital,"Opas alerta sobre recorde de dengue na América Latina, impulsionado por mudança climática","Com 3,5 milhões de casos até agora neste ano, a América Latina e o Caribe provavelmente enfrentarão sua “pior temporada de dengue”, favorecida pela combinação do fenômeno El Niño com as mudanças climáticas, alertou...",28/03/24 - 17:56min
mercado-digital,Casa Branca estabelece regras para uso da IA pelo governo,"A Casa Branca anunciou nesta quinta-feira (28) “salvaguardas concretas” para o uso de Inteligência Artificial (IA) por organismos do governo dos Estados Unidos, que, espera, sirvam de modelo para a “ação global” na questão....",28/03/24 - 11:45min
mercado-digital,Aquecimento global interfere no cálculo do tempo universal,"O degelo na Groenlândia e Antártica altera a velocidade de rotação da Terra mais rapidamente do que o previsto, a ponto de afetar o cálculo do tempo universal, que determina o bom funcionamento das...",27/03/24 - 18:06min
mercado-digital,"Câncer afeta cada vez mais pessoas menores de 50 anos, como a princesa Kate","O caso da princesa Catherine de Gales, de 42 anos, que anunciou recentemente que está em tratamento contra um câncer, é um exemplo de como, por razões ainda sem explicação, cada vez mais pessoas...",27/03/24 - 17:12min
mercado-digital,Intensos campos magnéticos formam espiral em torno de buraco negro no centro da Via Láctea,"Astrônomos descobriram poderosos campos magnéticos que se enrolam em espiral ao redor do buraco negro supermassivo Sagitário A*, localizado no coração da Via Láctea, anunciou, nesta quarta-feira (27), o Observatório Europeu do Sul (ESO)....",27/03/24 - 14:27min
mercado-digital,Países Baixos inauguram maior centro de testes de transporte com tecnologia hyperloop,"Os Países Baixos inauguram nesta quarta-feira (27) o maior túnel da Europa para cápsulas de transporte hyperloop, construído para testar esta tecnologia com o objetivo de que um dia seja possível viajar de Amesterdã...",27/03/24 - 9:14min
mercado-digital,Suprema Corte dos EUA analisa caso sensível sobre pílula abortiva,"A Suprema Corte dos Estados Unidos examinará nesta terça-feira um caso sensível sobre a pílula abortiva, que poderia restringir seu acesso e minar a autoridade do órgão regulador de saúde, com consequências imprevisíveis, segundo...",25/03/24 - 18:55min
mercado-digital,Sony fabricará discos para o PlayStation 5 no Brasil,"A Sony Interactive Entertainment (SIE) anunciou na última quinta-feira (21), a inauguração de um novo centro de produção e distribuição de jogos em mídia física para o PlayStation 5 no Brasil.  Ao lado da...",25/03/24 - 18:38min
mercado-digital,Tribunal dos EUA arquiva processo de Musk contra organização de luta contra o ódio,"Um tribunal dos Estados Unidos rechaçou, nesta segunda-feira (25), a ação da rede social X contra uma organização sem fins lucrativos que havia denunciado um aumento da desinformação e do discurso de ódio nessa...",25/03/24 - 16:49min
mercado-digital,Negociações na OMS sobre acordo para futuras pandemias ainda enfrentam obstáculos,"As negociações na Organização Mundial de Saúde (OMS) para prevenir e combater futuras pandemias entram em sua reta final nesta segunda-feira (25) em Genebra, embora ainda existam obstáculos para chegar a um acordo. Na...",25/03/24 - 11:50min
mercado-digital,"UE anuncia investigação sobre Apple, Google e Meta por violar leis de concorrência","A Comissão Europeia, braço Executivo da UE, anunciou nesta segunda-feira (25) a abertura de uma investigação contra os gigantes da tecnologia Apple, Alphabet (Google) e Meta (Facebook, Instagram), por suposta violação das regras de...",25/03/24 - 7:05min
mercado-digital,Sonda americana é desativada definitivamente na Lua,"A Odysseus, primeira sonda privada americana a pousar na Lua, foi desativada definitivamente, após cerca de um mês no satélite terrestre, anunciou sua fabricante, a Intuitive Machines. O dispositivo havia sido colocado em repouso...",24/03/24 - 18:10min
mercado-digital,"Prosopometamorfopsia, o pesadelo de ver rostos deformados","Victor Sharrah acordou uma manhã e, apavorado, se deu conta de que via seu companheiro de apartamento com orelhas pontudas, olhos gigantescos e a boca na extensão das bordas do rosto. Tentando manter a...",22/03/24 - 16:24min
mercado-digital,Luta contra o mosquito tigre vira desafio para Paris antes dos Jogos,"A luta contra o mosquito tigre, “primo” do “Aedes aegypti”, será um desafio para Paris antes dos Jogos Olímpicos. Os fabricantes já estão na linha de frente instalando suas armadilhas, uma alternativa aos inseticidas....",22/03/24 - 14:52min
